Jaar,Maand,CPI,Consumer Price Index,Euro95 Margin,Diesel Margin
2016,februari,0.6,0.6%,0.230637121,0.200524599
2016,maart,0.6,0.6%,0.199686788,0.19278279
2016,april,0,0.0%,0.176986736,0.199233585
2016,mei,0,0.0%,0.212899302,0.188935362
2016,juni,0,0.0%,0.207128826,0.193651867
2016,juli,-0.2,-0.2%,0.216254861,0.212841886
2016,augustus,0.2,0.2%,0.195615967,0.199494381
2016,september,0.1,0.1%,0.183428242,0.184240806
2016,oktober,0.4,0.4%,0.201364139,0.204259704
2016,november,0.6,0.6%,0.202252903,0.219994286
2016,december,1,1.0%,0.21145983,0.236559251
2017,januari,1.7,1.7%,0.191356995,0.219655563
2017,februari,1.8,1.8%,0.212232038,0.220039157
2017,maart,1.1,1.1%,0.205606378,0.223034741
2017,april,1.6,1.6%,0.225805169,0.225814177
2017,mei,1.1,1.1%,0.21597943,0.212373402
2017,juni,1.1,1.1%,0.224610096,0.214205882
2017,juli,1.3,1.3%,0.212566805,0.216398793
2017,augustus,1.4,1.4%,0.216697903,0.223089209
2017,september,1.5,1.5%,0.221659514,0.227756677
2017,oktober,1.3,1.3%,0.186566753,0.228601887
2017,november,1.5,1.5%,0.201409169,0.222382365
2017,december,1.3,1.3%,0.177027271,0.216049875
2018,januari,1.5,1.5%,0.179117794,0.222383291
2018,februari,1.2,1.2%,0.183247824,0.213804329
2018,maart,1,1.0%,0.160770173,0.214166302
2018,april,1.1,1.1%,0.181556219,0.21657947
2018,mei,1.7,1.7%,0.190678422,0.225439521
2018,juni,1.7,1.7%,0.192885385,0.235401748
2018,juli,2.1,2.1%,0.193720592,0.230374519
2018,augustus,2.1,2.1%,0.217276316,0.239054209
2018,september,1.9,1.9%,0.18511878,0.22906765
2018,oktober,2.1,2.1%,0.146975799,0.237375394
2018,november,2,2.0%,0.169430148,0.289081498
2018,december,2,2.0%,0.159893846,0.271807704
2019,januari,2.2,2.2%,0.163057425,0.255923872
2019,februari,2.6,2.6%,0.162259644,0.261501533
2019,maart,2.8,2.8%,0.182702277,0.262078987
2019,april,2.9,2.9%,0.221264745,0.244819897
2019,mei,2.4,2.4%,0.236209169,0.254242237
2019,juni,2.7,2.7%,0.226542032,0.245744567
2019,juli,2.5,2.5%,0.236174493,0.257113453
2019,augustus,2.8,2.8%,0.241565119,0.268315863
2019,september,2.6,2.6%,0.215918221,0.275230949
2019,oktober,2.7,2.7%,0.229722127,0.294755996
2019,november,2.6,2.6%,0.222988397,0.276791482
2019,december,2.7,2.7%,0.205507517,0.268648557
2020,januari,1.8,1.8%,0.239341471,0.301660642
2020,februari,1.6,1.6%,0.252550738,0.297052132
2020,maart,1.4,1.4%,0.310012981,0.359615543
2020,april,1.2,1.2%,0.303335882,0.398337893
2020,mei,1.2,1.2%,0.257429508,0.317535936
2020,juni,1.6,1.6%,0.245562203,0.26400774
2020,juli,1.7,1.7%,0.251785679,0.266011008
2020,augustus,0.7,0.7%,0.255328024,0.257209978
2020,september,1.1,1.1%,0.274308377,0.243001848
2020,oktober,1.2,1.2%,0.272832484,0.250774155
2020,november,0.8,0.8%,0.234237643,0.250727257
2020,december,1,1.0%,0.224340815,0.256561346
2021,januari,1.6,1.6%,0.239640728,0.262239091
2021,februari,1.8,1.8%,0.247268944,0.272819853
2021,maart,1.9,1.9%,0.268934962,0.281269396
2021,april,1.9,1.9%,0.289997354,0.284460109
2021,mei,2.1,2.1%,0.297269366,0.287716303
2021,juni,2,2.0%,0.286489923,0.285773615
2021,juli,1.4,1.4%,0.299697492,0.285825581
2021,augustus,2.4,2.4%,0.326179014,0.304495852
2021,september,2.7,2.7%,0.319491598,0.311475014
2021,oktober,3.4,3.4%,0.339928612,0.355275575
2021,november,5.2,5.2%,0.398175987,0.387680064
2021,december,5.7,5.7%,0.401590869,0.389185233
2022,januari,6.4,6.4%,0.496874267,0.468968841
2022,februari,6.2,6.2%,0.503728791,0.485207835
2022,maart,9.7,9.7%,0.568012868,0.659114108
2022,april,9.6,9.6%,0.462820116,0.624885543
2022,mei,8.8,8.8%,0.481838179,0.554517665
2022,juni,8.6,8.6%,0.564055616,0.623944735
2022,juli,10.3,10.3%,0.482647205,0.59931496
2022,augustus,12,12.0%,0.432099491,0.590649411
2022,september,14.5,14.5%,0.406035427,0.665125647
2022,oktober,14.3,14.3%,0.400157387,0.699683047
2022,november,9.9,9.9%,0.364720438,0.608851981
2022,december,9.6,9.6%,0.320406494,0.547391498
2023,januari*,7.6,7.6%,0.37386243,0.574134557
