start_date,end_date,EURO95_acc,Diesel_acc,LPG_acc
1/1/2006,12/31/2006,0.67628,0.37141,0.05004443
1/1/2007,12/31/2007,0.68702,0.37727,0.05004443
1/1/2008,6/30/2008,0.69724,0.38284,0.05004443
7/1/2008,12/31/2008,0.69724,0.41294,0.0638435
1/1/2009,12/31/2009,0.709,0.41986,0.06476541
1/1/2010,12/31/2010,0.72298,0.42839,0.07888986
1/1/2011,12/31/2011,0.71827,0.4236,0.07643472
1/1/2012,12/31/2012,0.73048,0.4308,0.08259722
1/1/2013,12/31/2013,0.74655,0.44028,0.08875972
1/1/2014,12/31/2014,0.75924,0.47776,0.15882981
1/1/2015,12/31/2015,0.76607,0.48206,0.16499231
1/1/2016,12/31/2016,0.7699,0.48447,0.16581562
1/1/2017,12/31/2017,0.77221,0.48592,0.16631355
1/1/2018,12/31/2018,0.77869,0.48981,0.16764465
1/1/2019,12/31/2019,0.78773,0.49569,0.16965609
1/1/2020,12/31/2020,0.80033,0.50362,0.17237252
1/1/2021,12/31/2021,0.81314,0.52168,0.17512839
1/1/2022,1/3/2022,0.82371,0.52846,0.17740605
1/4/2022,6/30/2023,0.65071,0.41746,0.14015497
7/1/2023,12/31/2023,0.7891,0.51625,0.16995682
